Player,Champion,Times played
Rascal,Jax,3
Rascal,Renekton,3
Rascal,Kennen,3
Rascal,KSante,2
Rascal,Malphite,2
Rascal,Gnar,2
Rascal,Ornn,2
Rascal,Skarner,1
Rascal,Aurora,1
Rascal,Corki,1
Rascal,Rumble,1
Sponge,Viego,5
Sponge,Sejuani,5
Sponge,Nidalee,4
Sponge,Xin Zhao,4
Sponge,Zyra,4
Sponge,Taliyah,3
Sponge,Vi,2
Sponge,Ivern,2
Sponge,Maokai,2
Sponge,Shyvana,2
Sponge,Nocturne,2
Sponge,Jax,1
Sponge,Poppy,1
Sponge,Brand,1
Sponge,Lee Sin,1
Sponge,Lillia,1
SeTab,Corki,3
SeTab,Smolder,2
SeTab,Yasuo,1
SeTab,Yone,1
SeTab,LeBlanc,1
SeTab,Zeri,1
Teddy,Kaisa,7
Teddy,Ezreal,7
Teddy,Ashe,6
Teddy,Zeri,5
Teddy,Kalista,3
Teddy,Jhin,2
Teddy,Xayah,2
Teddy,Corki,1
Teddy,Jinx,1
Teddy,Ziggs,1
Teddy,Caitlyn,1
Teddy,Miss Fortune,1
Teddy,Senna,1
Pleata,Leona,13
Pleata,Rakan,7
Pleata,Rell,5
Pleata,Nautilus,5
Pleata,Alistar,4
Pleata,Braum,2
Pleata,Renata Glasc,2
Pleata,Neeko,1
Pleata,Ornn,1
