Player,Champion,Times played
kingen,Gnar,11
kingen,Renekton,6
kingen,Gangplank,6
kingen,Rumble,5
kingen,Skarner,3
kingen,Gragas,3
kingen,Twisted Fate,2
kingen,KSante,2
kingen,Aatrox,2
kingen,Aurora,2
kingen,Jayce,1
kingen,Lee Sin,1
kingen,Smolder,1
Lucid,Sejuani,13
Lucid,Vi,10
Lucid,Maokai,6
Lucid,Viego,4
Lucid,Nidalee,3
Lucid,Poppy,2
Lucid,Lee Sin,2
Lucid,Lillia,2
Lucid,Wukong,1
Lucid,Zyra,1
Lucid,Ivern,1
ShowMaker,Taliyah,12
ShowMaker,Corki,6
ShowMaker,LeBlanc,6
ShowMaker,Azir,5
ShowMaker,Tristana,5
ShowMaker,Twisted Fate,3
ShowMaker,Ziggs,2
ShowMaker,Akali,1
ShowMaker,Jayce,1
ShowMaker,Sylas,1
ShowMaker,Tryndamere,1
ShowMaker,Zeri,1
ShowMaker,Yone,1
Aiming,Zeri,12
Aiming,Ezreal,8
Aiming,Kaisa,6
Aiming,Kalista,4
Aiming,Miss Fortune,4
Aiming,Corki,3
Aiming,Ashe,3
Aiming,Aphelios,2
Aiming,Xayah,1
Aiming,Lucian,1
Aiming,Samira,1
Moham,Rell,4
Moham,Leona,3
Moham,Alistar,2
Moham,Nautilus,1
