Player,Champion,Times played
Kiin,KSante,8
Kiin,Skarner,5
Kiin,Gangplank,5
Kiin,Kennen,4
Kiin,Udyr,2
Kiin,Jayce,2
Kiin,Jax,2
Kiin,Renekton,2
Kiin,Rumble,1
Kiin,Twisted Fate,1
Kiin,Mordekaiser,1
Kiin,Kalista,1
Kiin,Ryze,1
Kiin,Aurora,1
Canyon,Nidalee,10
Canyon,Maokai,6
Canyon,Sejuani,5
Canyon,Zyra,5
Canyon,Karthus,3
Canyon,Lillia,3
Canyon,Taliyah,1
Canyon,Ivern,1
Canyon,Brand,1
Canyon,Skarner,1
Chovy,Corki,15
Chovy,Lucian,4
Chovy,Tristana,4
Chovy,Azir,4
Chovy,Draven,4
Chovy,Yone,2
Chovy,Zeri,2
Chovy,Hwei,1
Peyz,Ezreal,8
Peyz,Zeri,7
Peyz,Senna,7
Peyz,Ashe,5
Peyz,Ziggs,3
Peyz,Lucian,2
Peyz,Kaisa,1
Peyz,Jhin,1
Peyz,Seraphine,1
Peyz,Xayah,1
Lehends,Leona,10
Lehends,Nautilus,6
Lehends,Alistar,4
Lehends,Ornn,3
Lehends,Rakan,3
Lehends,Lulu,2
Lehends,Blitzcrank,2
Lehends,Braum,2
Lehends,Nami,2
Lehends,Maokai,1
Lehends,Renata Glasc,1
