Player,Champion,Times played
Doran,Rumble,8
Doran,Skarner,6
Doran,Gnar,5
Doran,KSante,4
Doran,Aatrox,3
Doran,Renekton,3
Doran,Kennen,3
Doran,Twisted Fate,2
Doran,Jax,2
Doran,Zac,1
Doran,Quinn,1
Doran,Aurora,1
Peanut,Sejuani,10
Peanut,Vi,6
Peanut,Maokai,5
Peanut,Nidalee,3
Peanut,Zyra,3
Peanut,Ivern,3
Peanut,KhaZix,2
Peanut,Poppy,2
Peanut,Shyvana,2
Peanut,Viego,1
Peanut,Fiddlesticks,1
Peanut,Morgana,1
Zeka,Corki,9
Zeka,Tristana,8
Zeka,Lucian,6
Zeka,Azir,5
Zeka,Yone,4
Zeka,Taliyah,2
Zeka,Ahri,1
Zeka,Jayce,1
Zeka,Yasuo,1
Zeka,LeBlanc,1
Zeka,Zeri,1
Viper,Zeri,9
Viper,Ezreal,8
Viper,Ashe,5
Viper,Kaisa,4
Viper,Jhin,4
Viper,Miss Fortune,3
Viper,Kalista,1
Viper,Varus,1
Viper,Vayne,1
Viper,Ziggs,1
Viper,Xayah,1
Viper,Smolder,1
Delight,Alistar,12
Delight,Rell,10
Delight,Leona,7
Delight,Poppy,3
Delight,Rakan,2
Delight,Braum,2
Delight,Renata Glasc,1
Delight,Nautilus,1
Delight,Bard,1
