Player,Champion,Times played
PerfecT,KSante,13
PerfecT,Renekton,7
PerfecT,Rumble,6
PerfecT,Gnar,5
PerfecT,Skarner,4
PerfecT,Jax,2
PerfecT,Kennen,2
PerfecT,Mordekaiser,1
PerfecT,Udyr,1
Pyosik,Sejuani,14
Pyosik,Vi,6
Pyosik,Ivern,6
Pyosik,Maokai,6
Pyosik,Zyra,4
Pyosik,Lee Sin,3
Pyosik,Nidalee,2
Pyosik,Viego,2
Pyosik,Kindred,1
Bdd,Corki,11
Bdd,Azir,7
Bdd,Taliyah,5
Bdd,Lucian,4
Bdd,Yone,3
Bdd,Tristana,3
Bdd,Orianna,3
Bdd,Jayce,2
Bdd,Smolder,2
Bdd,Aurelion Sol,1
Bdd,Veigar,1
Bdd,Ahri,1
Bdd,Zeri,1
Deft,Ezreal,12
Deft,Kalista,7
Deft,Ashe,6
Deft,Senna,3
Deft,Zeri,3
Deft,Miss Fortune,2
Deft,Jhin,2
Deft,Varus,1
Deft,Draven,1
Deft,Caitlyn,1
Deft,Jinx,1
Deft,Nilah,1
Deft,Xayah,1
Deft,Seraphine,1
Deft,Kaisa,1
Deft,Ziggs,1
BeryL,Leona,10
BeryL,Braum,5
BeryL,Rell,5
BeryL,Alistar,4
BeryL,Seraphine,3
BeryL,Neeko,3
BeryL,Nautilus,3
BeryL,Lulu,2
BeryL,Rakan,2
BeryL,Ornn,2
BeryL,Tahm Kench,1
BeryL,Taric,1
BeryL,Hwei,1
BeryL,Shen,1
BeryL,Ashe,1
