Player,Champion,Times played
DuDu,KSante,15
DuDu,Gnar,8
DuDu,Skarner,4
DuDu,Poppy,4
DuDu,Renekton,4
DuDu,Rumble,3
DuDu,Aatrox,3
DuDu,Camille,1
DuDu,Jax,1
DuDu,Kennen,1
Cuzz,Nidalee,11
Cuzz,Maokai,8
Cuzz,Viego,6
Cuzz,Zyra,6
Cuzz,Sejuani,3
Cuzz,Morgana,2
Cuzz,Zac,2
Cuzz,Lillia,1
Cuzz,Vi,1
Cuzz,Ivern,1
Cuzz,Brand,1
Cuzz,Poppy,1
Cuzz,Shyvana,1
Bulldog,Corki,13
Bulldog,Tristana,9
Bulldog,Yone,7
Bulldog,Zeri,4
Bulldog,Aurora,4
Bulldog,Hwei,2
Bulldog,Taliyah,2
Bulldog,Ziggs,2
Bulldog,Azir,1
Leaper,Ezreal,16
Leaper,Zeri,11
Leaper,Ashe,4
Leaper,Jhin,4
Leaper,Kaisa,2
Leaper,Miss Fortune,2
Leaper,Senna,1
Leaper,Taliyah,1
Leaper,Xayah,1
Leaper,Sion,1
Leaper,Caitlyn,1
Andil,Leona,8
Andil,Alistar,7
Andil,Rell,7
Andil,Rakan,6
Andil,Nautilus,4
Andil,Karma,2
Andil,Seraphine,1
Andil,Blitzcrank,1
Andil,Tahm Kench,1
Andil,Braum,1
Andil,Senna,1
Andil,Poppy,1
