Player,Champion,Times played
Mihile,Gnar,9
Mihile,Aatrox,5
Mihile,KSante,5
Mihile,Renekton,4
Mihile,Skarner,2
Mihile,Rumble,1
Mihile,Aurora,1
Sylvie,Sejuani,12
Sylvie,Maokai,5
Sylvie,Brand,4
Sylvie,Viego,4
Sylvie,Nidalee,3
Sylvie,Ivern,3
Sylvie,Lillia,2
Sylvie,Taliyah,1
Sylvie,Xin Zhao,1
Sylvie,Poppy,1
Sylvie,Vi,1
Sylvie,Zyra,1
Fisher,Corki,12
Fisher,Tristana,5
Fisher,Azir,5
Fisher,Yone,4
Fisher,Hwei,3
Fisher,Lucian,1
Fisher,Zeri,1
Jiwoo,Kaisa,10
Jiwoo,Ezreal,6
Jiwoo,Zeri,6
Jiwoo,Ziggs,3
Jiwoo,Senna,3
Jiwoo,Varus,2
Jiwoo,Nilah,2
Jiwoo,Jhin,1
Jiwoo,Xayah,1
Jiwoo,Kalista,1
Jiwoo,Miss Fortune,1
Jiwoo,Ashe,1
Jiwoo,Caitlyn,1
Vital,Rell,4
Vital,Rakan,2
Vital,Senna,2
Vital,Leona,1
