Player,Champion,Times played
Morgan,KSante,8
Morgan,Skarner,5
Morgan,Jax,5
Morgan,Gnar,5
Morgan,Renekton,4
Morgan,Rumble,4
Morgan,Kennen,3
Morgan,Udyr,1
Morgan,Mordekaiser,1
Morgan,Poppy,1
Morgan,Ornn,1
Morgan,Nasus,1
YoungJae,Sejuani,8
YoungJae,Taliyah,6
YoungJae,Lillia,4
YoungJae,Maokai,4
YoungJae,Viego,3
YoungJae,Xin Zhao,2
YoungJae,Zyra,2
YoungJae,Nidalee,1
YoungJae,Brand,1
YoungJae,Shyvana,1
YoungJae,Poppy,1
FATE,Corki,9
FATE,Yone,4
FATE,Tristana,2
FATE,Lucian,1
FATE,LeBlanc,1
Samver,Miss Fortune,3
Samver,Kaisa,2
Samver,Jhin,2
Samver,Ashe,1
Samver,Zeri,1
Samver,Varus,1
Pollu,Leona,11
Pollu,Rell,9
Pollu,Nautilus,6
Pollu,Rakan,5
Pollu,Braum,3
Pollu,Alistar,3
Pollu,Maokai,1
Pollu,Poppy,1
