Player,Champion,Times played
Zeus,Kennen,9
Zeus,KSante,8
Zeus,Gnar,6
Zeus,Skarner,4
Zeus,Camille,3
Zeus,Jayce,3
Zeus,Rumble,2
Zeus,Renekton,2
Zeus,Twisted Fate,1
Zeus,Yone,1
Zeus,Poppy,1
Zeus,Jax,1
Zeus,Mordekaiser,1
Zeus,Sylas,1
Zeus,Aurora,1
Oner,Sejuani,10
Oner,Vi,7
Oner,Viego,6
Oner,Nidalee,6
Oner,Poppy,3
Oner,Ivern,3
Oner,Lillia,3
Oner,Taliyah,1
Oner,Diana,1
Oner,Zyra,1
Oner,Brand,1
Oner,Lee Sin,1
Oner,Wukong,1
Faker,Tristana,12
Faker,Azir,11
Faker,Corki,11
Faker,Taliyah,3
Faker,Yone,3
Faker,Ahri,2
Faker,Lucian,1
Faker,Aurora,1
Gumayusi,Zeri,6
Gumayusi,Senna,5
Gumayusi,Jhin,4
Gumayusi,Ezreal,4
Gumayusi,Kalista,4
Gumayusi,Caitlyn,4
Gumayusi,Miss Fortune,4
Gumayusi,Ashe,3
Gumayusi,Xayah,3
Gumayusi,Varus,2
Gumayusi,Draven,2
Gumayusi,Kaisa,2
Gumayusi,Yasuo,1
Keria,Rell,7
Keria,Braum,5
Keria,Leona,5
Keria,Rakan,4
Keria,Nautilus,4
Keria,Renata Glasc,3
Keria,Alistar,3
Keria,Ornn,2
Keria,Neeko,1
Keria,Ashe,1
Keria,Tahm Kench,1
Keria,Lulu,1
Keria,Seraphine,1
Keria,Sejuani,1
Keria,Lux,1
Keria,Soraka,1
Keria,Karma,1
Keria,Senna,1
Keria,Bard,1
