Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg,BT,GT,CSM,GPM,CSD@15,GD@15,XPD@15
Rumble,36,164,99%,23,13,64%,3.8,3.6,30:28,7.9,700,397,13.3,594,424
Corki,116,65,89%,54,62,47%,3.6,4.0,31:17,9.8,746,445,4.2,130,13
Ashe,44,131,86%,25,19,57%,5.2,3.9,31:26,9.1,642,419,5.7,8,99
Leona,84,71,76%,37,47,44%,2.2,7.7,30:56,1.2,173,241,-6.9,-155,-297
Sejuani,85,69,76%,38,47,45%,4.5,4.2,31:17,5.9,300,330,-4.5,-112,-188
Ezreal,80,69,73%,42,38,53%,4.0,4.6,31:39,9.7,903,438,7.8,-20,174
Tristana,68,79,72%,33,35,49%,3.4,4.4,32:11,9.8,647,443,-1.8,58,-38
Kalista,22,117,68%,13,9,59%,4.3,5.7,33:20,9.4,570,433,24.5,350,400
Maokai,52,80,65%,34,18,65%,3.7,3.3,32:33,5.5,436,320,-4.2,-280,-301
Zeri,87,42,64%,48,39,55%,4.8,7.3,31:14,10.4,673,470,6.2,297,144
Renekton,47,80,63%,24,23,51%,2.3,4.5,31:43,8.7,440,390,6.5,187,69
KSante,79,45,61%,37,42,47%,2.4,7.0,30:51,8.0,380,368,-5.8,-239,-29
Senna,27,93,59%,18,9,67%,6.2,5.3,32:35,2.0,527,312,-97.1,-1198,-1818
Vi,42,76,58%,27,15,64%,4.1,3.6,31:56,6.5,320,359,-0,69,187
Alistar,58,53,55%,34,24,59%,3.2,8.5,31:52,1.0,133,241,0.1,-123,22
Nidalee,44,62,52%,25,19,57%,4.9,4.3,31:55,7.4,562,378,9.3,205,293
Rakan,49,36,42%,26,23,53%,3.7,8.3,29:37,1.1,140,248,-4.4,-4,-185
Gnar,62,22,41%,29,33,47%,2.6,8.2,31:33,8.7,533,400,2.4,-5,-90
Taliyah,48,36,41%,22,26,46%,4.0,5.1,31:53,8.7,577,400,-4.3,-210,-23
Nautilus,42,41,41%,17,25,40%,1.8,6.0,31:39,1.9,158,246,1.2,-98,-28
Yone,43,36,39%,20,23,47%,2.7,5.2,30:22,9.5,523,419,-0.4,-192,98
Rell,63,13,37%,28,35,44%,2.5,8.8,31:17,1.1,126,243,-4.5,-201,-173
Azir,50,24,36%,26,24,52%,3.9,4.8,31:24,9.6,712,430,0.8,-85,83
Kaisa,46,28,36%,17,29,37%,3.7,8.7,30:16,9.7,648,445,1.8,-291,-46
